,Street_Address,City,Zipcode,Bed,Bath,Floor_Area(sq.ft),Price($),Estimated_mortgage/mo($),Elementary_School,Middle_school,High_School,Crime,Commute_By_Car(%),Restaurants,Groceries,Nightlife,Year_Built,lot_Size(sq.ft),Property_Tax_2020,Property_Assessment($)
104,793 Park Ct,Santa Clara,95050,4,2.0,1357.0,1248000.0,4952.0,1.0,1.0,1.0,Lowest,92.0,127.0,26.0,20.0,1924,5000.0,14326.0,1196460.0
105,1062 Castleton Way,Sunnyvale,94087,4,2.0,2113.0,2100000.0,8281.0,1.0,1.0,1.0,Lowest,94.0,127.0,20.0,11.0,1973,6642.0,1217.0,100719.0
106,627 Bucher Ave,Santa Clara,95051,3,2.0,1355.0,1495998.0,5921.0,1.0,1.0,1.0,Lowest,95.0,103.0,18.0,12.0,1954,5301.0,11804.0,991239.0
107,2059 Monroe St,Santa Clara,95050,4,1.0,1405.0,1399000.0,5542.0,1.0,1.0,1.0,Lowest,92.0,103.0,16.0,9.0,1954,5000.0,5819.0,485586.0
108,812 Inverness Way,Sunnyvale,94087,3,2.0,1519.0,1998000.0,7882.0,1.0,1.0,1.0,Lowest,94.0,107.0,15.0,16.0,1960,6046.0,16451.0,1361039.0
109,2341 Fatjo Pl,Santa Clara,95050,3,1.0,1021.0,1198000.0,4757.0,1.0,1.0,1.0,Lowest,92.0,145.0,22.0,14.0,1950,5850.0,6120.0,511577.0
110,685 Lakebird Dr,Sunnyvale,94089,3,2.0,1501.0,1399000.0,5542.0,1.0,1.0,1.0,Lowest,96.0,70.0,10.0,5.0,1983,6821.0,2609.0,200878.0
111,752 Scott Blvd,Santa Clara,95050,4,2.0,1830.0,1499950.0,5936.0,1.0,1.0,1.0,Lowest,92.0,133.0,20.0,16.0,1947,7640.0,17401.0,1456560.0
112,10165 Vicksburg Dr,Cupertino,95014,4,3.0,1760.0,2200000.0,8672.0,1.0,1.0,1.0,Lowest,95.0,143.0,17.0,10.0,1962,0.35,8341.0,606829.0
113,2050 Coolidge Dr,Santa Clara,95051,3,2.0,1181.0,1479000.0,5854.0,1.0,1.0,1.0,Lowest,95.0,115.0,16.0,11.0,1963,5998.0,15346.0,1290096.0
114,207 Ripley St,San Francisco,94110,3,2.0,2010.0,2200000.0,8488.0,1.0,1.0,,Lowest,40.0,555.0,145.0,141.0,,2495.0,,
115,187 Skyview Way,San Francisco,94131,3,2.0,1868.0,1395000.0,5410.0,1.0,1.0,,Lowest,59.0,259.0,42.0,63.0,1956,3371.0,18163.0,1456560.0
116,2660 Scott St,San Francisco,94123,7,6.0,9190.0,19200000.0,73501.0,1.0,1.0,,Lowest,59.0,538.0,92.0,175.0,1908,5623.0,171806.0,14269573.0
117,18 Lapidge St,San Francisco,94110,2,1.0,1083.0,1195000.0,4645.0,1.0,1.0,,Low,40.0,944.0,175.0,364.0,1909,2000.0,3024.0,182057.0
118,871 Foerster St,San Francisco,94127,4,4.0,2996.0,2097000.0,8095.0,1.0,1.0,,Lowest,71.0,177.0,31.0,27.0,1981,2957.0,18007.0,1373695.0
119,529 Wildwood Way,San Francisco,94112,3,3.0,1642.0,1495000.0,5793.0,1.0,1.0,,Lowest,62.0,155.0,35.0,20.0,1955,3036.0,14775.0,1166880.0
120,881 Foerster St,San Francisco,94127,3,2.0,1590.0,1775000.0,6863.0,1.0,1.0,,Lowest,71.0,177.0,31.0,27.0,,5283.0,7113.0,591293.0
121,918 Divisadero St,San Francisco,94115,7,5.0,5041.0,4900000.0,18814.0,1.0,1.0,,Lowest,49.0,773.0,135.0,275.0,1890,2500.0,4440.0,315707.0
122,762 29th Ave,San Francisco,94121,3,3.0,1804.0,1795000.0,6939.0,1.0,1.0,,Lowest,60.0,238.0,44.0,31.0,1923,2996.0,11288.0,878599.0
123,560 Vienna St,San Francisco,94112,2,2.0,1125.0,849000.0,3322.0,1.0,1.0,,Lowest,62.0,137.0,29.0,22.0,1900,2495.0,7551.0,564089.0
124,2674 San Jose Ave,San Francisco,94112,3,2.0,1624.0,998000.0,3891.0,1.0,1.0,,Lowest,62.0,173.0,42.0,22.0,1949,2504.0,12211.0,957167.0
125,2698 Pacific Ave,San Francisco,94115,8,6.0,10734.0,25800000.0,98741.0,1.0,1.0,,Lowest,49.0,576.0,100.0,191.0,1906,8219.0,200291.0,16646400.0
126,100 San Felipe Ave,San Francisco,94127,4,4.0,3465.0,2495000.0,9616.0,1.0,1.0,,Lowest,71.0,181.0,38.0,23.0,1928,8398.0,8488.0,653516.0
127,65 Meda Ave,San Francisco,94112,4,3.0,1987.0,1499000.0,5808.0,1.0,1.0,,Lowest,62.0,162.0,34.0,25.0,1923,1663.0,19558.0,1565983.0
128,1567 24th Ave,San Francisco,94122,2,2.0,1500.0,1299000.0,5042.0,1.0,1.0,,Lowest,63.0,227.0,32.0,32.0,1938,3000.0,13040.0,1022135.0
129,2430 26th Ave,San Francisco,94116,4,4.0,2648.0,2495000.0,9616.0,1.0,1.0,,Lowest,67.0,162.0,29.0,23.0,1925,3000.0,14439.0,1141500.0
130,50 Oakwood St,San Francisco,94110,5,5.0,4665.0,7850000.0,30096.0,1.0,1.0,,Moderate,40.0,917.0,176.0,355.0,1900,2750.0,,
131,1742 28th Ave,San Francisco,94122,4,3.0,1969.0,1895000.0,7322.0,1.0,1.0,,Lowest,63.0,207.0,33.0,28.0,1939,2962.0,6981.0,527747.0
132,1260 Monterey Blvd,San Francisco,94127,4,4.0,3600.0,3195000.0,12294.0,1.0,1.0,,Lowest,71.0,183.0,37.0,23.0,1928,4917.0,33043.0,2702355.0
133,674 29th St,San Francisco,94131,2,3.0,,1495000.0,5793.0,1.0,1.0,,Lowest,59.0,340.0,86.0,82.0,1910,2848.0,2993.0,179507.0
134,245 Lakeshore Dr,San Francisco,94132,4,2.0,1774.0,1695000.0,6557.0,1.0,1.0,,Lowest,68.0,91.0,15.0,11.0,1955,3135.0,7725.0,578641.0
135,243 Hearst Ave,San Francisco,94131,3,2.0,1415.0,1259000.0,4890.0,1.0,1.0,,Lowest,59.0,178.0,36.0,28.0,1925,2813.0,13071.0,1035880.0
136,2523 Pacific Ave,San Francisco,94115,5,7.0,8520.0,14300000.0,54762.0,1.0,1.0,,Lowest,49.0,602.0,110.0,205.0,1903,5114.0,36522.0,2992662.0
137,341 San Fernando Way,San Francisco,94127,5,4.0,2738.0,1890000.0,7328.0,1.0,1.0,,Lowest,71.0,196.0,35.0,24.0,1927,4029.0,20141.0,1167328.0
138,1934 30th Ave,San Francisco,94116,2,1.0,1709.0,1295000.0,5027.0,1.0,1.0,,Lowest,67.0,175.0,31.0,28.0,1940,2996.0,1785.0,94160.0
139,2830 22nd St,San Francisco,94110,2,2.0,1090.0,1089000.0,4240.0,1.0,1.0,,Low,40.0,785.0,163.0,265.0,1900,2596.0,,
140,272 Broad St,San Francisco,94112,4,2.0,1352.0,999999.0,3899.0,1.0,1.0,,Lowest,62.0,157.0,33.0,18.0,1908,2487.0,4574.0,379437.0
141,207 Thornton Ave,San Francisco,94124,3,2.0,1175.0,875000.0,3422.0,1.0,2.0,,Lowest,64.0,179.0,63.0,24.0,1916,2500.0,5044.0,418614.0
